ax,ay,az,gx,gy,gz
11876,3476,1956,156,-372,-307
10596,6884,1040,-188,-154,-207
12020,13004,120,-126,310,211
15404,12960,1640,185,666,-30
12796,5644,872,426,-24,-596
12620,4632,5528,221,-177,-42
17252,9896,3780,-367,77,107
18456,12376,6252,-238,410,574
14536,6240,3960,257,-239,267
7132,3176,-604,-167,-1273,-341
10184,10292,-3460,-130,378,-10
14944,11740,5812,254,498,733
17224,7364,12180,304,-282,-298
18056,10156,4408,-241,-461,-336
15080,9796,6400,-187,159,191
13252,5456,3640,43,29,334
11116,5776,1980,-140,-298,-128
11892,14236,-6184,29,790,-48
15736,10320,10148,441,11,-185
12308,6084,3232,243,-235,-188
15760,7248,1328,-454,398,285
14472,8964,-508,-98,240,621
11620,4848,3832,132,-689,-182
13048,10812,1856,-139,84,-566
12944,8384,3648,547,236,359
14056,6240,8116,-65,-611,90
16388,11340,-924,-281,480,592
13180,5884,4956,257,-214,143
11800,7456,176,-287,-528,-1065
11056,7820,-480,439,842,471
13912,4708,6540,250,-73,-24
15744,10052,-2100,-387,425,164
15724,8160,4232,87,123,268
11912,6060,5012,-108,-621,-882
13712,10328,4896,74,421,-9
15236,7456,5440,275,110,-43
17024,10176,1196,-336,19,211
16096,9452,12,-34,550,228
12116,6636,1168,19,-726,-586
14620,13276,6224,2,596,-145
13580,5628,5532,406,99,157
15028,6996,4972,-370,-319,41
17736,10984,6104,-204,294,364
11936,3800,5208,205,-616,-290
11608,10496,-2496,-103,224,-568
12316,8456,952,375,-37,313
15348,9844,3892,-201,-414,43
17888,12328,6776,-189,526,399
12640,5020,5228,227,-518,-283
10140,9404,1140,-245,37,-706
13316,8580,7400,345,-72,347
12420,5544,5680,-179,-524,49
18692,13164,6860,-336,528,532
13644,4688,6172,250,-437,-1
10472,7668,-696,-237,-10,-933
11008,8064,-3784,314,274,612
14464,8292,4108,190,59,222
18236,11444,764,-307,450,338
14860,6988,3684,188,187,396
10804,6016,5064,-102,-550,-920
12272,10660,-748,-64,469,127
16356,8484,8144,345,20,171
15824,9996,2396,-335,-162,-35
18652,10936,7268,-118,159,364
11244,3984,6152,16,-475,-571
9708,9596,-3424,-366,-391,-212
14612,11516,1252,336,543,678
13356,7644,3012,165,-238,-272
16496,9512,864,-150,465,430
13108,4176,5460,117,-453,-321
10664,6280,3508,-225,-366,-80
13308,11964,-3696,158,992,434
16052,9976,4188,367,-195,-121
16056,9140,-2428,-192,301,13
13616,5124,2168,31,77,-26
10500,3988,5368,-142,-811,-158
15092,14224,5780,-97,998,194
16048,8880,8144,509,238,26
15316,7436,8968,-28,-219,-132
15368,8344,1776,-255,138,-174
8748,2804,4336,30,-823,-107
12176,11572,140,-302,108,87
16300,11312,7728,476,145,559
15468,10124,6556,-45,-98,-371
16992,9028,4024,-98,155,302
8420,2704,-512,-6,-747,-464
13572,11272,4384,35,817,-22
16112,7464,7456,196,74,-69
17100,9600,2764,-348,256,482
13932,6996,4764,83,-200,238
12624,10140,392,-93,397,-327
15836,9604,7624,366,-60,-219
12596,6964,196,-379,-459,-631
12960,5996,4500,-6,-165,301
10464,4396,-368,-281,-439,-127
16328,12068,6640,150,414,623
14868,10708,3532,-116,-534,101
17244,11752,5104,-178,316,450
13296,8480,1968,-264,-65,-923
16304,12404,10416,438,284,132
18308,9828,7640,-284,-393,-278
13480,4652,4244,197,-187,-189
12696,10668,-608,-152,46,-546
12856,5656,1536,429,-192,-504
14324,10132,2800,-247,30,405
9024,4408,2364,46,-811,-56
10896,8592,-5816,325,966,382
14136,7940,4020,-255,-444,-52
15296,8716,4156,-33,205,854
11208,9804,-1020,-125,-153,-13
13608,10160,4100,461,268,301
16492,10212,-1264,-252,63,-56
13744,7520,3756,188,-142,0
12764,13596,-3632,74,460,10
16020,6156,11316,511,-174,-435
17040,9800,6756,-371,14,47
9932,3672,6920,93,-903,-349
12196,9460,2296,88,259,171
12336,5240,4452,111,-376,-23
15552,9264,5108,-272,491,572
11308,5068,284,-120,23,-284
15224,11224,2240,343,525,785
15828,10076,6360,-178,-276,-171
17048,9632,5408,-101,39,313
13636,9384,2084,-212,254,-612
14708,11524,1880,469,113,-43
15732,7824,4128,-253,-68,-288
13660,3584,5164,198,-219,-269
13528,11128,1496,-199,29,-694
12800,7256,5180,370,-584,-158
13344,8688,448,-177,361,598
9120,1312,-116,-76,-634,-194
12812,11316,-880,-121,1002,24
12980,4916,2100,285,105,86
17644,11616,7864,-361,392,708
12452,6096,2904,-52,-551,-410
14728,13372,-420,71,843,-116
16136,8208,7908,277,-272,-355
15660,8892,872,-174,257,56
8700,3596,-392,-116,-737,-660
11444,9512,-780,459,559,325
11080,4768,4928,-16,-727,-90
15304,7676,5700,-168,303,741
10284,4452,-2080,-306,-439,-153
15040,11504,4292,331,358,752
15192,8160,4656,-275,-219,16
14924,6780,5464,47,257,86
12840,9588,1072,-148,342,-347
16876,7848,10380,550,14,-315
17504,9604,3436,-296,210,-195
12236,5180,3184,54,-200,-563
14480,13152,6488,-172,-142,-178
14424,6692,8216,302,-252,-134
16344,11028,4472,-407,411,571
12444,5400,3864,-287,-483,-454
14836,13148,-632,150,914,466
15168,10000,5344,54,-243,-179
17480,11956,5236,-220,211,344
13344,9100,3640,-198,-309,-825
15996,11796,8832,480,238,185
16008,8124,4448,-227,-548,-462
12596,6256,1948,125,-253,-91
11316,10836,2384,-238,-60,-507
14204,9188,8800,430,86,330
